parkName,year,concessionerLodging,concessionerCampers,tentCampers,rvCampers,backcountryCampers,recreationVisitors,recreationVisitorHours,nonRecreationVisitors,nonRecreationVisitorHours
Badlands,1992,8640,0,27097,18999,279,1205297,5360804,18864,9432
Badlands,1993,8674,0,28078,18860,341,1179458,5271311,18864,9432
Badlands,1994,8997,0,33751,17963,699,1130459,5145716,18864,9432
Badlands,1995,9139,0,29798,17000,756,1075569,4875087,18864,9432
Badlands,1996,7519,0,24696,14949,841,1024705,4572411,18864,9432
Badlands,1997,8901,0,21441,12479,1046,970696,4312097,18864,9432
Badlands,1998,6707,0,19370,11534,862,1021049,4443734,18864,9432
Badlands,1999,8358,0,24977,15619,911,950453,4305138,18864,9432
Badlands,2000,8363,0,30205,14869,859,1105824,4964253,18864,9432
Badlands,2001,8019,0,27574,11279,692,955469,4297133,18864,9432
Badlands,2002,6502,0,23192,10766,540,908898,4036688,18864,9432
Badlands,2003,7995,0,25622,11153,384,871034,3938898,18864,9432
Badlands,2004,6737,0,24225,12149,879,936030,4178385,18864,9432
Badlands,2005,8045,0,18668,8751,654,909146,3995845,18864,9432
Badlands,2006,7297,0,17578,8284,397,840118,3695301,18864,9432
Badlands,2007,15852,0,16211,16506,710,886654,4073686,18864,9432
Badlands,2008,8358,0,14787,7949,613,845734,3689516,18864,9432
Badlands,2009,5874,0,25388,12232,1410,933918,4197338,18864,9432
Badlands,2010,6424,23984,3542,783,1658,977778,4251417,18864,9432
Badlands,2011,7313,32485,2645,464,1578,870741,3930808,18864,9432
Badlands,2012,6388,32489,2182,350,979,883406,3955172,18864,9432
Badlands,2013,6169,37381,9318,2071,1429,892372,4158056,55704,27852
Badlands,2014,9087,38088,8622,2740,1419,868094,4106567,59891,29946
Badlands,2015,9474,39444,4627,856,1445,989354,4531214,65911,32956
Badlands,2016,9875,47131,7934,1500,1410,996263,4703459,70721,35360
Badlands,2017,9646,48157,4930,859,2433,1054325,4908225,67459,33730
Badlands,2018,9375,13830,2920,778,2926,1008942,4292825,105109,52554
Badlands,2019,7092,19820,3490,930,2493,970998,4192793,55984,27992
Badlands,2020,7324,13109,3739,690,4514,916932,3928547,55984,27992
Badlands,2021,10668,16607,3194,688,3534,1224226,5190774,55984,27992
Badlands,2022,10375,14929,2710,590,2319,1006809,4297631,55984,27992
Badlands,2023,10841,11734,3262,910,1417,1046400,4418935,55984,27992
Cuyahoga Valley,1992,2750,0,0,0,0,1430382,3317488,8872,4436
Cuyahoga Valley,1993,2668,0,0,0,0,2266139,5796964,9710,4855
Cuyahoga Valley,1994,2498,0,0,0,0,3266401,9321777,9696,4848
Cuyahoga Valley,1995,2676,0,0,0,0,3195207,9814070,8888,4444
Cuyahoga Valley,1996,2552,0,0,0,0,3455878,10472610,9696,4848
Cuyahoga Valley,1997,2561,0,0,0,0,3527837,10400508,9696,4848
Cuyahoga Valley,1998,2252,0,0,0,0,3467107,10255106,9696,4848
Cuyahoga Valley,1999,2402,0,0,0,0,3324284,9730019,9696,4848
Cuyahoga Valley,2000,2352,0,0,0,0,3324918,10317816,4796,2398
Cuyahoga Valley,2001,2336,0,0,0,0,3123353,9478567,1296,648
Cuyahoga Valley,2002,5116,0,0,0,0,3217935,10079269,856,428
Cuyahoga Valley,2003,2761,0,0,0,0,2879591,8981429,924,463
Cuyahoga Valley,2004,2792,0,0,0,0,3306175,10652294,636,318
Cuyahoga Valley,2005,3060,0,0,0,0,2533827,7764895,576,288
Cuyahoga Valley,2006,2529,0,0,0,0,2468816,7485631,473,239
Cuyahoga Valley,2007,1922,0,0,0,0,2486656,7453337,296,152
Cuyahoga Valley,2008,1880,0,0,0,0,2828233,7632052,204,108
Cuyahoga Valley,2009,1747,0,0,0,0,2589288,7030280,192,96
Cuyahoga Valley,2010,1911,0,0,0,0,2492670,7331201,186,94
Cuyahoga Valley,2011,4040,0,0,0,0,2161185,6497835,192,96
Cuyahoga Valley,2012,5915,0,0,0,0,2299722,7025556,159,74
Cuyahoga Valley,2013,6137,0,0,0,0,2103010,6422427,0,0
Cuyahoga Valley,2014,6632,0,0,0,0,2189849,6573737,0,0
Cuyahoga Valley,2015,7351,0,0,0,0,2284612,6798355,0,0
Cuyahoga Valley,2016,7797,0,0,0,0,2423390,7099454,0,0
Cuyahoga Valley,2017,7670,0,0,0,0,2226879,6389081,0,0
Cuyahoga Valley,2018,8607,0,0,0,0,2096053,6266804,0,0
Cuyahoga Valley,2019,7777,0,0,0,0,2237997,6555235,0,0
Cuyahoga Valley,2020,2141,0,0,0,0,2755628,7075597,0,0
Cuyahoga Valley,2021,5390,0,0,0,0,2575275,7057688,0,0
Cuyahoga Valley,2022,6586,0,0,0,0,2913312,8151031,0,0
Cuyahoga Valley,2023,5795,0,0,0,0,2860059,8517581,0,0
Gateway Arch,1992,0,0,0,0,0,2415514,2415514,165414,28122
Gateway Arch,1993,0,0,0,0,0,2539740,2539740,186875,31770
Gateway Arch,1994,0,0,0,0,0,2553696,2553696,136248,23162
Gateway Arch,1995,0,0,0,0,0,3234977,12939908,315669,53664
Gateway Arch,1996,0,0,0,0,0,3649308,14597232,458751,77987
Gateway Arch,1997,0,0,0,0,0,3420076,13680304,527028,89594
Gateway Arch,1998,0,0,0,0,0,3420352,13681408,494814,84117
Gateway Arch,1999,0,0,0,0,0,3481042,13924168,541053,91978
Gateway Arch,2000,0,0,0,0,0,3458956,13835824,545686,92767
Gateway Arch,2001,0,0,0,0,0,3532524,14130096,445868,75798
Gateway Arch,2002,0,0,0,0,0,3333454,13333808,371995,63240
