parkCode,year,recreationVisitors,nonRecreationVisitors,recreationVisitorHours,nonRecreationVisitorHours,concessionerLodging,concessionerCampers,tentCampers,rvCampers,backcountryCampers
BADL,1992,1205297,18864,5360804,18864,8640,0,27097,18999,279
BADL,1993,1179458,18864,5271311,18864,8674,0,28078,18860,341
BADL,1994,1130459,18864,5145716,18864,8997,0,33751,17963,699
BADL,1995,1075569,18864,4875087,18864,9139,0,29798,17000,756
BADL,1996,1024705,18864,4572411,18864,7519,0,24696,14949,841
BADL,1997,970696,18864,4312097,18864,8901,0,21441,12479,1046
BADL,1998,1021049,18864,4443734,18864,6707,0,19370,11534,862
BADL,1999,950453,18864,4305138,18864,8358,0,24977,15619,911
BADL,2000,1105824,18864,4964253,18864,8363,0,30205,14869,859
BADL,2001,955469,18864,4297133,18864,8019,0,27574,11279,692
BADL,2002,908898,18864,4036688,18864,6502,0,23192,10766,540
BADL,2003,871034,18864,3938898,18864,7995,0,25622,11153,384
BADL,2004,936030,18864,4178385,18864,6737,0,24225,12149,879
BADL,2005,909146,18864,3995845,18864,8045,0,18668,8751,654
BADL,2006,840118,18864,3695301,18864,7297,0,17578,8284,397
BADL,2007,886654,18864,4073686,18864,15852,0,16211,16506,710
BADL,2008,845734,18864,3689516,18864,8358,0,14787,7949,613
BADL,2009,933918,18864,4197338,18864,5874,0,25388,12232,1410
BADL,2010,977778,18864,4251417,18864,6424,23984,3542,783,1658
BADL,2011,870741,18864,3930808,18864,7313,32485,2645,464,1578
BADL,2012,883406,18864,3955172,18864,6388,32489,2182,350,979
BADL,2013,892372,55704,4158056,55704,6169,37381,9318,2071,1429
BADL,2014,868094,59891,4106567,59891,9087,38088,8622,2740,1419
BADL,2015,989354,65911,4531214,65911,9474,39444,4627,856,1445
BADL,2016,996263,70721,4703459,70721,9875,47131,7934,1500,1410
BADL,2017,1054325,67459,4908225,67459,9646,48157,4930,859,2433
BADL,2018,1008942,105109,4292825,105109,9375,13830,2920,778,2926
BADL,2019,970998,55984,4192793,55984,7092,19820,3490,930,2493
BADL,2020,916932,55984,3928547,55984,7324,13109,3739,690,4514
BADL,2021,1224226,55984,5190774,55984,10668,16607,3194,688,3534
BADL,2022,1006809,55984,4297631,55984,10375,14929,2710,590,2319
BADL,2023,1046400,55984,4418935,55984,10841,11734,3262,910,1417
CUVA,1992,1430382,8872,3317488,8872,2750,0,0,0,0
CUVA,1993,2266139,9710,5796964,9710,2668,0,0,0,0
CUVA,1994,3266401,9696,9321777,9696,2498,0,0,0,0
CUVA,1995,3195207,8888,9814070,8888,2676,0,0,0,0
CUVA,1996,3455878,9696,10472610,9696,2552,0,0,0,0
CUVA,1997,3527837,9696,10400508,9696,2561,0,0,0,0
CUVA,1998,3467107,9696,10255106,9696,2252,0,0,0,0
CUVA,1999,3324284,9696,9730019,9696,2402,0,0,0,0
CUVA,2000,3324918,4796,10317816,4796,2352,0,0,0,0
CUVA,2001,3123353,1296,9478567,1296,2336,0,0,0,0
CUVA,2002,3217935,856,10079269,856,5116,0,0,0,0
CUVA,2003,2879591,924,8981429,924,2761,0,0,0,0
CUVA,2004,3306175,636,10652294,636,2792,0,0,0,0
CUVA,2005,2533827,576,7764895,576,3060,0,0,0,0
CUVA,2006,2468816,473,7485631,473,2529,0,0,0,0
CUVA,2007,2486656,296,7453337,296,1922,0,0,0,0
CUVA,2008,2828233,204,7632052,204,1880,0,0,0,0
CUVA,2009,2589288,192,7030280,192,1747,0,0,0,0
CUVA,2010,2492670,186,7331201,186,1911,0,0,0,0
CUVA,2011,2161185,192,6497835,192,4040,0,0,0,0
CUVA,2012,2299722,159,7025556,159,5915,0,0,0,0
CUVA,2013,2103010,0,6422427,0,6137,0,0,0,0
CUVA,2014,2189849,0,6573737,0,6632,0,0,0,0
CUVA,2015,2284612,0,6798355,0,7351,0,0,0,0
CUVA,2016,2423390,0,7099454,0,7797,0,0,0,0
CUVA,2017,2226879,0,6389081,0,7670,0,0,0,0
CUVA,2018,2096053,0,6266804,0,8607,0,0,0,0
CUVA,2019,2237997,0,6555235,0,7777,0,0,0,0
CUVA,2020,2755628,0,7075597,0,2141,0,0,0,0
CUVA,2021,2575275,0,7057688,0,5390,0,0,0,0
CUVA,2022,2913312,0,8151031,0,6586,0,0,0,0
CUVA,2023,2860059,0,8517581,0,5795,0,0,0,0
HOSP,1992,1504013,1970820,1201840,1970820,0,0,4117,7971,0
HOSP,1993,1477299,2031206,1132941,2031206,0,0,3466,7285,0
HOSP,1994,1618847,2077830,1215522,2077830,0,0,4168,6674,0
HOSP,1995,1617077,2009166,1202676,2009166,0,0,4812,6155,0
HOSP,1996,1538105,2015452,1034237,2015452,0,0,2202,3081,0
HOSP,1997,1509596,1946542,1062214,1946542,0,0,3141,4711,0
HOSP,1998,1495993,2001989,1025275,2001989,0,0,3131,4019,0
HOSP,1999,1384469,1909508,952329,1909508,0,0,3152,3671,0
HOSP,2000,1338156,2046363,853651,2046363,0,0,1591,2070,0
HOSP,2001,1296786,1934979,889727,1934979,0,0,2968,2564,0
HOSP,2002,1440227,2018238,986675,2018238,0,0,3072,2988,0
HOSP,2003,1561311,2303244,862050,2303244,0,0,3481,2824,0
HOSP,2004,1418735,2437800,954543,2437800,0,0,3088,2815,0
HOSP,2005,1340160,2425492,3018664,2425492,0,0,3175,2975,0
HOSP,2006,1273456,2551874,3101429,2551874,0,0,3175,2975,0
HOSP,2007,1300152,2388253,2955784,2388253,0,0,3990,2295,0
HOSP,2008,1238147,2184030,2757018,2184030,0,0,4771,1693,0
HOSP,2009,1284707,2079230,2856583,2079230,0,0,4597,5018,0
HOSP,2010,1311807,2225873,3034292,2225873,0,0,4086,8323,0
HOSP,2011,1396354,2292692,3229927,2292692,0,0,4570,9373,0
HOSP,2012,1302505,2262240,2976518,2262240,0,0,3050,6938,0
HOSP,2013,1325719,2077424,3017166,2077424,0,0,4273,10827,0
HOSP,2014,1424484,2165801,3099890,2165801,0,0,3901,15705,0
HOSP,2015,1418162,2243425,3310306,2243425,0,0,4735,19413,0
HOSP,2016,1544300,2352769,3530802,2352769,0,0,3706,20315,0
HOSP,2017,1561616,2455528,1401560,2455528,0,0,1467,22543,0
HOSP,2018,1506887,2306072,1341461,2306072,0,0,1233,22712,0
HOSP,2019,1467153,2231219,1352979,2231219,0,0,1455,24251,0
HOSP,2020,1348215,148205,4059569,148205,0,0,3190,27217,0
HOSP,2021,2162884,149986,6189943,149986,0,0,1179,31469,0
HOSP,2022,2646133,150800,7501578,150800,0,0,633,35741,0
HOSP,2023,2502967,150504,6849394,150504,0,0,28,22062,0
INDU,1992,1973098,333877,3946196,333877,0,0,2260,747,0
INDU,1993,1763094,323321,4366830,323321,0,0,8554,2691,0
INDU,1994,1699958,149833,4157455,149833,0,0,10796,3478,0
INDU,1995,1696488,145639,4240070,145639,0,0,12940,3315,0
INDU,1996,1526166,118260,3805775,118260,0,0,13157,3720,0
INDU,1997,1483782,118260,3677662,118260,0,0,15674,4538,0
INDU,1998,2108789,118260,5279848,118260,0,0,18991,4346,0
INDU,1999,1748047,118260,4772764,118260,0,0,17713,4534,0
INDU,2000,1820228,104904,5082487,104904,0,0,18997,5348,0
INDU,2001,1735404,104904,4870023,104904,0,0,16961,4607,0
INDU,2002,1989941,102930,5491925,102930,0,0,19121,5183,0
INDU,2003,1953449,70986,5303674,70986,0,0,17419,5494,0
INDU,2004,1810330,54473,5042769,54473,0,0,22819,6858,0
INDU,2005,2127336,51352,5719434,51352,0,0,19685,3928,0
INDU,2006,1938132,46173,5141754,46173,0,0,16597,3742,0
INDU,2007,1972344,45693,5226674,45693,0,0,17323,3974,0
INDU,2008,1833596,29957,5147366,29957,0,0,18501,4503,0
INDU,2009,1944568,21447,5424751,21447,0,0,18690,4241,0
INDU,2010,2150345,15261,5870781,15261,0,0,19065,4375,0
INDU,2011,1840513,5585,5069490,5585,0,0,17978,4845,0
INDU,2012,1889381,5253,5026362,5253,0,0,16538,3170,0
INDU,2013,1681695,5253,4569298,5253,0,0,14051,4014,0
INDU,2014,1553372,5253,4136390,5253,0,0,11643,3655,0
INDU,2015,1640195,5253,4418234,5253,0,0,14746,4089,0
INDU,2016,1698223,5253,4536913,5253,0,0,16716,3790,0
INDU,2017,2158471,5253,5796301,5253,0,0,20082,4885,0
INDU,2018,1756079,5701,4700315,5701,0,0,13308,4598,0
INDU,2019,2134285,4054,5721279,4054,0,0,16316,6468,0
INDU,2020,2293106,3943,6164879,3943,0,0,18572,4765,0
INDU,2021,3177210,3943,8234659,3943,0,0,21474,7917,0
INDU,2022,2834180,3943,7755716,3943,0,0,22460,11039,0
INDU,2023,2765892,3943,7657687,3943,0,0,24360,12540,0
ISRO,1992,22728,196,1393393,196,5964,1456,7397,0,39663
ISRO,1993,21983,133,1447048,133,5689,1616,8058,0,40690
ISRO,1994,24843,198,1550100,198,4994,1628,8665,0,43673
ISRO,1995,23470,104,1586713,104,5201,1397,8178,0,45564
ISRO,1996,23445,135,1681527,135,8273,1432,8343,0,46625
ISRO,1997,21381,122,1482542,122,7513,869,6882,0,42112
ISRO,1998,23932,270,1531190,270,6722,840,7748,0,44426
ISRO,1999,23493,167,1547188,167,7642,664,7096,0,44028
ISRO,2000,21096,146,1465644,146,7730,591,7200,0,40157
ISRO,2001,19431,133,1620328,133,6576,535,6731,0,49077
ISRO,2002,19463,141,1395963,141,6682,506,5720,0,40389
ISRO,2003,17800,171,1376382,171,6375,662,5545,0,40069
ISRO,2004,17276,114,1275960,114,6699,542,4887,0,36706
ISRO,2005,17398,103,1318880,103,7996,525,4928,0,36889
ISRO,2006,17070,110,1265521,110,7769,384,5230,0,35439
ISRO,2007,15973,66,1249925,66,6974,485,5135,0,35400
ISRO,2008,14038,183,1127451,183,6144,315,5096,0,32289
ISRO,2009,14653,181,1040114,181,5948,327,4551,0,28864
ISRO,2010,15793,100,1196810,100,6359,361,5502,0,34116
ISRO,2011,15892,144,1190577,144,6138,365,5130,0,34221
ISRO,2012,16663,41,1176138,41,6225,322,5463,0,33808
ISRO,2013,16274,109,1137345,109,6527,0,5289,0,32343
ISRO,2014,14560,166,1097272,166,7331,346,5758,0,29662
ISRO,2015,18684,142,1094905,142,7072,292,5133,0,30072
ISRO,2016,24966,73,1214443,73,10128,171,3160,0,22604
ISRO,2017,28196,133,1239498,133,11372,185,3850,0,21693
ISRO,2018,25798,158,1254990,158,9562,218,5173,0,24758
ISRO,2019,26410,291,1335648,291,12308,172,4902,0,26899
ISRO,2020,6493,150,294687,150,0,0,2086,0,8024
ISRO,2021,25844,88,1424902,88,8249,258,6450,0,32128
ISRO,2022,25454,122,1404008,122,11119,217,6201,0,27619
ISRO,2023,28965,94,1524902,94,13699,445,6166,0,30072
JEFF,1992,2415514,165414,2415514,165414,0,0,0,0,0
JEFF,1993,2539740,186875,2539740,186875,0,0,0,0,0
JEFF,1994,2553696,136248,2553696,136248,0,0,0,0,0
JEFF,1995,3234977,315669,12939908,315669,0,0,0,0,0
JEFF,1996,3649308,458751,14597232,458751,0,0,0,0,0
JEFF,1997,3420076,527028,13680304,527028,0,0,0,0,0
JEFF,1998,3420352,494814,13681408,494814,0,0,0,0,0
JEFF,1999,3481042,541053,13924168,541053,0,0,0,0,0
JEFF,2000,3458956,545686,13835824,545686,0,0,0,0,0
JEFF,2001,3532524,445868,14130096,445868,0,0,0,0,0
JEFF,2002,3333454,371995,13333808,371995,0,0,0,0,0
JEFF,2003,2685219,298557,10740870,298557,0,0,0,0,0
JEFF,2004,2779350,324405,11117398,324405,0,0,0,0,0
JEFF,2005,2944976,283101,11779898,283101,0,0,0,0,0
JEFF,2006,2572072,258332,10288287,258332,0,0,0,0,0
JEFF,2007,2385387,308172,9541543,308172,0,0,0,0,0
JEFF,2008,1954810,291041,7819233,291041,0,0,0,0,0
JEFF,2009,2360109,270413,9440424,270413,0,0,0,0,0
JEFF,2010,2436110,282437,9744437,282437,0,0,0,0,0
JEFF,2011,2259020,241059,9036075,241059,0,0,0,0,0
JEFF,2012,2496726,245240,9986905,245240,0,0,0,0,0
JEFF,2013,2377258,261735,9509027,261735,0,0,0,0,0
JEFF,2014,1817091,173727,7268369,173727,0,0,0,0,0
JEFF,2015,1698656,0,6794623,0,0,0,0,0,0
JEFF,2016,1271855,0,5087422,0,0,0,0,0,0
JEFF,2017,1398188,0,5592754,0,0,0,0,0,0
JEFF,2018,2016180,0,8064734,0,0,0,0,0,0
JEFF,2019,2055309,0,8221233,0,0,0,0,0,0
JEFF,2020,486021,0,1623082,0,0,0,0,0,0
JEFF,2021,1145081,0,4580325,0,0,0,0,0,0
JEFF,2022,1618774,0,6459955,0,0,0,0,0,0
JEFF,2023,2422836,0,5330239,0,0,0,0,0,0
THRO,1992,475937,6412,1305376,6412,0,0,9733,15782,996
THRO,1993,475160,6412,1352799,6412,0,0,10575,16800,914
THRO,1994,505349,6412,1518553,6412,0,0,12195,17798,1598
THRO,1995,460699,6412,1325783,6412,0,0,10154,15582,2088
THRO,1996,436081,6412,1348109,6412,0,0,12232,16338,1155
THRO,1997,393265,6412,1200136,6412,0,0,10363,15631,1115
THRO,1998,448286,6412,1242847,6412,0,0,9779,14111,1482
THRO,1999,431311,6578,1265600,6578,0,0,9894,15681,1465
THRO,2000,431813,6578,1202166,6578,0,0,10176,14989,971
THRO,2001,446609,6578,1146107,6578,0,0,9997,12320,771
THRO,2002,471551,6578,1222857,6578,0,0,9527,13427,1072
THRO,2003,490295,6578,1548689,6578,0,0,10534,12555,1185
THRO,2004,474589,6578,1479383,6578,0,0,9310,11982,750
THRO,2005,493198,6578,1547162,6578,0,0,8383,13557,634
THRO,2006,435359,6578,1313770,6578,0,0,7879,10575,1110
THRO,2007,456588,6578,1359757,6578,0,0,7668,11331,480
THRO,2008,516804,6578,1456334,6578,0,0,9000,9358,593
THRO,2009,586928,6578,1787581,6578,0,0,10687,14174,798
THRO,2010,623748,6578,1937130,6578,0,0,11709,14425,732
THRO,2011,563407,6578,1789230,6578,0,0,10989,9182,768
THRO,2012,640555,6578,2196828,6578,0,0,12663,12569,891
THRO,2013,545090,6578,2105675,6578,0,0,13733,13503,841
THRO,2014,559580,6578,2051446,6578,0,0,13804,12973,849
THRO,2015,580033,6578,2165040,6578,0,0,13967,15011,529
THRO,2016,753880,6578,2623905,6578,0,0,14835,17730,232
THRO,2017,708003,6578,2506618,6578,0,0,14723,17750,587
THRO,2018,749389,6578,2699165,6578,0,0,14707,18235,614
THRO,2019,691658,6578,2657924,6578,0,0,16862,20524,735
THRO,2020,551303,6578,1680978,6578,0,0,227,505,2591
THRO,2021,796085,6578,2944360,6578,0,0,15742,22096,1054
THRO,2022,668679,6578,2566720,6578,0,0,13441,22321,658
THRO,2023,746862,6578,2662270,6578,0,0,11703,21459,718
VOYA,1992,227498,17005,1298846,17005,1288,0,0,0,18457
VOYA,1993,228143,17105,1275345,17105,1058,0,0,0,17280
VOYA,1994,224181,15907,1251533,15907,1422,0,0,0,16776
VOYA,1995,210938,15166,1241347,15166,948,0,0,0,18466
VOYA,1996,246588,13638,1335122,13638,700,0,0,0,18493
VOYA,1997,223418,13145,1206957,13145,976,0,0,0,16615
VOYA,1998,231958,17703,1191686,17703,1140,0,0,0,16418
VOYA,1999,228898,17851,1197208,17851,1473,0,0,0,16732
VOYA,2000,227371,2627,1175606,2627,1505,0,0,0,16553
VOYA,2001,243374,2580,1285043,2580,1223,0,0,0,18346
VOYA,2002,238227,2580,1252210,2580,1269,0,0,0,17740
VOYA,2003,234231,2580,1244040,2580,1238,0,0,0,17657
VOYA,2004,249041,2580,1361691,2580,4307,0,0,0,18069
VOYA,2005,234577,2580,1319072,2580,3373,0,0,0,18955
VOYA,2006,231875,2580,1316311,2580,4202,0,0,0,19023
VOYA,2007,220650,2576,1252872,2576,3579,0,0,0,18257
VOYA,2008,221585,2580,1273353,2580,4193,0,0,0,18626
VOYA,2009,222429,2580,1248701,2580,3888,0,0,0,17776
VOYA,2010,253891,2580,3934485,2580,3674,0,0,0,35560
VOYA,2011,177184,1935,2723742,1935,4434,0,0,0,21915
VOYA,2012,214841,773,3262169,773,4065,0,0,0,28837
VOYA,2013,233390,750,1396013,750,3617,0,0,0,21807
VOYA,2014,239160,0,1330620,0,3264,0,0,0,31941
VOYA,2015,238313,0,1258084,0,3233,0,0,0,50462
VOYA,2016,241912,0,1303956,0,3983,0,0,0,46451
VOYA,2017,237250,0,1243694,0,3822,0,0,0,53539
VOYA,2018,239656,0,1192456,0,3728,0,0,0,59499
VOYA,2019,232974,0,1180880,0,3727,0,0,0,45262
VOYA,2020,263091,0,1576986,0,2090,0,0,0,67277
VOYA,2021,243042,0,1147771,0,3714,0,0,0,74000
VOYA,2022,221434,0,1048987,0,2891,0,0,0,43566
VOYA,2023,220825,0,944753,0,3911,0,0,0,56364
WICA,1992,660296,644701,632466,644701,0,0,7612,4911,227
WICA,1993,537075,203732,2037755,203732,0,0,7498,4727,306
WICA,1994,871061,308963,2784216,308963,0,0,5858,4290,297
WICA,1995,805688,289245,2601981,289245,0,0,6621,3054,406
WICA,1996,781171,277899,2251235,277899,0,0,2155,1254,589
WICA,1997,832033,298662,2342366,298662,0,0,1982,1316,200
WICA,1998,849974,305974,2775518,305974,0,0,6748,4666,277
WICA,1999,761717,254348,2518009,254348,0,0,5757,4594,289
WICA,2000,668507,212665,2278915,212665,0,0,5594,4221,245
WICA,2001,650357,223669,2123024,223669,0,0,4897,3155,401
WICA,2002,810298,292298,2545981,292298,0,0,5367,3190,347
WICA,2003,874167,327360,2670264,327360,0,0,4974,3652,185
WICA,2004,593877,234491,1922119,234491,0,0,3600,3450,230
WICA,2005,612478,241866,1911327,241866,0,0,3352,2518,176
WICA,2006,591049,237277,1812924,237277,0,0,2809,2289,181
WICA,2007,603158,237830,1885178,237830,0,0,3023,2748,168
WICA,2008,573433,227521,1842370,227521,0,0,4069,2248,100
WICA,2009,587868,230578,1632237,230578,0,0,1035,905,163
WICA,2010,577141,227411,1628000,227411,0,0,1623,1344,296
WICA,2011,538394,220340,1508724,220340,0,0,1645,1160,249
WICA,2012,529083,224663,1552259,224663,0,0,3601,2758,226
WICA,2013,516142,213488,1621332,213488,0,0,5866,4612,219
WICA,2014,547022,213488,1672929,213488,0,0,3814,4714,220
WICA,2015,612198,246364,1798805,246364,0,0,2420,3804,179
WICA,2016,617377,249618,1886762,249618,0,0,4093,4401,493
WICA,2017,619924,252727,1937618,252727,0,0,6197,4670,452
WICA,2018,656397,261581,1986661,261581,0,0,4333,4164,437
WICA,2019,615350,240685,1735378,240685,0,0,3632,3715,369
WICA,2020,448405,191304,1190980,191304,0,0,2576,2737,403
WICA,2021,709001,276475,2160776,276475,0,0,5297,5940,473
WICA,2022,607418,244214,1880036,244214,0,0,4865,5528,435
WICA,2023,592459,236892,1826057,236892,0,0,5396,6500,544
