fipsCode,stateID,year,unemploymentRate,civilianNonInstitutionalPopulation,totalLaborForce,unemploymentLevel
5,AR,1992,0.07,1824976,1077989,81083
5,AR,1993,0.0613,1857667,1102373,71955
5,AR,1994,0.0544,1885858,1140993,65588
5,AR,1995,0.0487,1912550,1163154,59419
5,AR,1996,0.0517,1938824,1173454,63927
5,AR,1997,0.0511,1963265,1176262,63469
5,AR,1998,0.0505,1981707,1182390,62806
5,AR,1999,0.0453,2004231,1199999,56936
5,AR,2000,0.0418,2026044,1208040,52755
5,AR,2001,0.0476,2039774,1201103,60022
5,AR,2002,0.0533,2053079,1209163,67948
5,AR,2003,0.0576,2068570,1208365,74015
5,AR,2004,0.0558,2087587,1229482,72645
5,AR,2005,0.0526,2112848,1263888,70099
5,AR,2006,0.0525,2142922,1275728,70755
5,AR,2007,0.0539,2166219,1278038,72746
5,AR,2008,0.0544,2186304,1283968,73976
5,AR,2009,0.0772,2203566,1248756,104521
5,AR,2010,0.0786,2232732,1247318,106512
5,AR,2011,0.0791,2254423,1250286,107256
5,AR,2012,0.0727,2266990,1252173,98103
5,AR,2013,0.0704,2276882,1237986,93790
5,AR,2014,0.059,2287195,1249646,78247
5,AR,2015,0.0495,2299074,1273049,66360
5,AR,2016,0.0398,2312068,1290425,53606
5,AR,2017,0.0374,2312545,1297741,50270
5,AR,2018,0.0366,2321284,1294714,49154
5,AR,2019,0.0349,2330750,1305702,47238
5,AR,2020,0.0618,2339264,1258035,82809
5,AR,2021,0.0404,2353685,1277179,53794
5,AR,2022,0.0321,2371804,1315905,43417
5,AR,2023,0.0322,2395291,1333276,44589
17,IL,1992,0.0787,8844259,5551803,474805
17,IL,1993,0.0749,8928912,5623816,455561
17,IL,1994,0.058,8989316,5757825,354865
17,IL,1995,0.052,9040636,5851850,320988
17,IL,1996,0.0528,9101290,5912997,330272
17,IL,1997,0.0477,9161360,5995341,301356
17,IL,1998,0.0445,9230764,6057452,282781
17,IL,1999,0.0441,9298418,6178996,285411
17,IL,2000,0.0444,9346902,6205782,288829
17,IL,2001,0.0543,9408240,6102428,350684
17,IL,2002,0.0655,9465460,5926615,415758
17,IL,2003,0.0672,9515975,5884761,425403
17,IL,2004,0.0618,9559591,5955133,392230
17,IL,2005,0.0572,9611488,6044704,366011
17,IL,2006,0.046,9675598,6215799,299462
17,IL,2007,0.0507,9743313,6303551,336767
17,IL,2008,0.0651,9811776,6220961,432507
17,IL,2009,0.1018,9877039,5930943,672823
17,IL,2010,0.1047,9905097,5916964,692209
17,IL,2011,0.0976,9949849,5927034,641394
17,IL,2012,0.0905,9992930,5988961,595943
17,IL,2013,0.0908,10027607,5963896,594350
17,IL,2014,0.0717,10049204,6047928,467472
17,IL,2015,0.0599,10052540,6121667,391320
17,IL,2016,0.0588,10048210,6172217,386373
17,IL,2017,0.0495,10141740,6236599,324414
17,IL,2018,0.044,10134812,6270608,287548
17,IL,2019,0.0397,10125894,6283535,259379
17,IL,2020,0.0931,10101689,5733368,585838
17,IL,2021,0.061,10053445,5943712,386998
17,IL,2022,0.0457,10011825,6128056,292775
17,IL,2023,0.0446,10021711,6150413,287502
18,IN,1992,0.0609,4289722,2685745,174029
18,IN,1993,0.0512,4342364,2799232,150745
18,IN,1994,0.0466,4385756,2910631,142341
18,IN,1995,0.0443,4431231,2983876,138606
18,IN,1996,0.0397,4478040,2977310,122841
18,IN,1997,0.0342,4510432,3012260,106416
18,IN,1998,0.0301,4539240,3027751,93761
18,IN,1999,0.0295,4569132,3030464,92078
18,IN,2000,0.0305,4600535,3030937,95317
18,IN,2001,0.0424,4630122,3010260,132964
18,IN,2002,0.0519,4657190,2998596,163714
18,IN,2003,0.0528,4687700,3010518,167312
18,IN,2004,0.054,4715526,2993458,171287
18,IN,2005,0.0539,4752908,3030019,172396
18,IN,2006,0.05,4796258,3074291,161200
18,IN,2007,0.0462,4836385,3055177,147970
18,IN,2008,0.0594,4874492,3052752,192932
18,IN,2009,0.1043,4907391,2881483,335400
18,IN,2010,0.1008,4962815,2855540,319967
